iter	Passed	Remaining
0	3	328
1	6	315
2	9	306
3	12	291
4	15	285
5	18	282
6	22	293
7	25	288
8	29	301
9	32	290
10	33	273
11	36	266
12	38	255
13	39	245
14	45	258
15	49	261
16	53	258
17	59	270
18	63	271
19	65	262
20	67	254
21	72	256
22	75	254
23	78	248
24	81	245
25	84	241
26	88	240
27	91	235
28	94	230
29	96	224
30	101	225
31	103	220
32	106	216
33	108	211
34	111	206
35	113	202
36	117	199
37	119	195
38	124	194
39	128	192
40	131	188
41	131	181
42	134	177
43	135	172
44	139	170
45	142	167
46	145	164
47	147	160
48	152	159
49	156	156
50	158	152
51	160	148
52	163	144
53	167	142
54	168	137
55	171	134
56	172	130
57	175	127
58	178	123
59	181	120
60	183	117
61	185	113
62	188	110
63	190	107
64	193	104
65	196	101
66	199	98
67	202	95
68	205	92
69	208	89
70	211	86
71	213	83
72	215	79
73	217	76
74	219	73
75	223	70
76	225	67
77	227	64
78	230	61
79	233	58
80	238	55
81	240	52
82	242	49
83	244	46
84	247	43
85	248	40
86	252	37
87	255	34
88	257	31
89	259	28
90	260	25
91	262	22
92	266	20
93	268	17
94	271	14
95	272	11
96	275	8
97	280	5
98	285	2
99	287	0
