iter	Passed	Remaining
0	150	150204
1	152	75990
2	154	51256
3	155	38796
4	159	31647
5	160	26653
6	162	23074
7	164	20387
8	166	18313
9	168	16655
10	171	15387
11	173	14319
12	175	13359
13	177	12520
14	179	11768
15	181	11171
16	185	10753
17	187	10243
18	189	9778
19	191	9374
20	193	9022
21	195	8702
22	199	8456
23	201	8177
24	202	7913
25	205	7689
26	207	7476
27	209	7264
28	214	7173
29	215	6983
30	217	6802
31	220	6667
32	222	6532
33	228	6501
34	231	6373
35	233	6245
36	235	6138
37	237	6017
38	239	5906
39	242	5819
40	244	5719
41	246	5620
42	249	5563
43	251	5466
44	253	5371
45	256	5313
46	257	5231
47	259	5150
48	264	5136
49	266	5062
50	268	4992
51	269	4919
52	271	4853
53	273	4787
54	278	4776
55	280	4732
56	283	4683
57	285	4642
58	294	4700
59	296	4648
60	300	4622
61	303	4585
62	305	4548
63	308	4508
64	311	4480
65	315	4465
66	318	4437
67	321	4403
68	324	4374
69	327	4357
70	332	4344
71	335	4323
72	337	4283
73	339	4244
74	341	4217
75	344	4191
76	346	4154
77	348	4119
78	350	4081
79	352	4048
80	354	4019
81	357	4003
82	359	3967
83	361	3946
84	364	3925
85	372	3956
86	374	3934
87	377	3907
88	379	3880
89	380	3852
90	383	3829
91	386	3817
92	391	3813
93	400	3864
94	404	3853
95	413	3891
96	415	3865
97	417	3839
98	422	3844
99	424	3823
100	426	3798
101	428	3774
102	431	3761
103	435	3749
104	438	3736
105	440	3711
106	441	3687
107	443	3662
108	445	3639
109	450	3648
110	457	3661
111	459	3640
112	465	3651
113	468	3639
114	470	3620
115	472	3600
116	473	3576
117	477	3569
118	481	3563
119	484	3552
120	487	3538
121	491	3536
122	494	3526
123	496	3507
124	500	3505
125	506	3511
126	508	3493
127	511	3482
128	514	3471
129	521	3487
130	525	3482
131	532	3499
132	536	3498
133	538	3481
134	541	3467
135	545	3465
136	548	3457
137	552	3452
138	560	3472
139	563	3462
140	567	3455
141	570	3444
142	573	3436
143	579	3446
144	586	3456
145	589	3446
146	591	3434
147	594	3424
148	598	3415
149	602	3413
150	605	3405
151	611	3410
152	614	3402
153	617	3389
154	624	3404
155	628	3401
156	630	3386
157	634	3382
158	638	3377
159	647	3398
160	650	3392
161	654	3385
162	657	3374
163	659	3362
164	662	3351
165	667	3352
166	669	3338
167	672	3329
168	678	3338
169	681	3325
170	683	3315
171	685	3299
172	690	3301
173	693	3290
174	696	3282
175	698	3270
176	706	3283
177	708	3270
178	710	3258
179	712	3247
180	717	3248
181	720	3239
182	723	3230
183	725	3219
184	728	3210
185	732	3207
186	738	3211
187	742	3208
188	746	3202
189	748	3191
190	754	3195
191	756	3182
192	757	3168
193	759	3157
194	761	3144
195	765	3138
196	768	3131
197	769	3118
198	772	3107
199	773	3095
200	775	3083
201	778	3075
202	781	3069
203	784	3059
204	786	3048
205	788	3038
206	790	3027
207	793	3021
208	795	3011
209	797	3001
210	799	2990
211	802	2981
212	807	2983
213	809	2973
214	813	2969
215	815	2961
216	822	2968
217	824	2957
218	826	2947
219	829	2939
220	830	2929
221	833	2922
222	837	2917
223	841	2913
224	843	2906
225	846	2899
226	850	2894
227	852	2886
228	855	2881
229	858	2875
230	864	2879
231	868	2873
232	870	2865
233	872	2855
234	874	2845
235	880	2851
236	883	2843
237	885	2834
238	887	2824
239	888	2814
240	892	2809
241	894	2802
242	896	2793
243	898	2784
244	901	2778
245	908	2784
246	911	2778
247	916	2778
248	923	2784
249	926	2779
250	932	2782
251	937	2782
252	950	2807
253	953	2800
254	955	2791
255	958	2784
256	961	2780
257	967	2782
258	969	2774
259	971	2765
260	974	2759
261	978	2756
262	980	2748
263	986	2751
264	995	2759
265	997	2753
266	1000	2745
267	1003	2739
268	1006	2735
269	1009	2728
270	1011	2721
271	1017	2722
272	1023	2724
273	1025	2718
274	1028	2710
275	1033	2711
276	1036	2706
277	1038	2698
278	1040	2689
279	1042	2681
280	1047	2679
281	1049	2673
282	1052	2665
283	1053	2657
284	1060	2659
285	1063	2655
286	1065	2647
287	1069	2643
288	1080	2658
289	1084	2655
290	1087	2649
291	1092	2648
292	1095	2643
293	1098	2637
294	1102	2635
295	1108	2636
296	1110	2628
297	1113	2623
298	1115	2615
299	1118	2609
300	1120	2601
301	1121	2592
302	1123	2584
303	1125	2575
304	1127	2568
305	1131	2566
306	1133	2559
307	1135	2551
308	1137	2544
309	1139	2536
310	1141	2528
311	1144	2523
312	1147	2517
313	1148	2509
314	1150	2502
315	1154	2497
316	1161	2502
317	1164	2497
318	1166	2489
319	1168	2482
320	1173	2482
321	1175	2475
322	1179	2471
323	1187	2477
324	1196	2484
325	1199	2478
326	1202	2475
327	1221	2503
328	1225	2499
329	1228	2493
330	1230	2486
331	1233	2482
332	1237	2479
333	1240	2473
334	1242	2467
335	1249	2469
336	1251	2462
337	1260	2469
338	1265	2467
339	1268	2463
340	1282	2478
341	1284	2471
342	1290	2471
343	1294	2467
344	1296	2462
345	1298	2454
346	1302	2451
347	1307	2450
348	1310	2444
349	1313	2439
350	1315	2432
351	1323	2437
352	1325	2429
353	1327	2422
354	1333	2423
355	1337	2420
356	1341	2416
357	1343	2410
358	1350	2410
359	1356	2411
360	1358	2405
361	1362	2401
362	1366	2397
363	1369	2392
364	1372	2387
365	1376	2385
366	1382	2385
367	1385	2379
368	1393	2382
369	1400	2384
370	1402	2377
371	1404	2371
372	1410	2370
373	1414	2367
374	1422	2370
375	1426	2366
376	1429	2362
377	1432	2357
378	1435	2351
379	1438	2347
380	1442	2344
381	1445	2338
382	1447	2332
383	1452	2329
384	1455	2325
385	1458	2320
386	1461	2314
387	1464	2310
388	1467	2305
389	1470	2300
390	1473	2295
391	1476	2290
392	1485	2294
393	1489	2290
394	1497	2292
395	1499	2287
396	1502	2281
397	1505	2277
398	1509	2273
399	1512	2269
400	1515	2264
401	1523	2266
402	1527	2262
403	1540	2272
404	1542	2265
405	1545	2261
406	1548	2256
407	1552	2252
408	1555	2247
409	1557	2241
410	1560	2236
411	1564	2233
412	1566	2227
413	1570	2222
414	1577	2223
415	1580	2219
416	1583	2213
417	1585	2207
418	1591	2207
419	1593	2200
420	1594	2193
421	1596	2187
422	1600	2182
423	1602	2177
424	1607	2175
425	1611	2171
426	1613	2165
427	1615	2158
428	1618	2154
429	1620	2147
430	1623	2142
431	1625	2137
432	1631	2135
433	1633	2129
434	1634	2123
435	1636	2117
436	1638	2111
437	1640	2105
438	1646	2104
439	1648	2098
440	1651	2093
441	1662	2099
442	1664	2092
443	1669	2090
444	1676	2090
445	1678	2084
446	1680	2078
447	1683	2074
448	1689	2073
449	1691	2067
450	1694	2062
451	1699	2060
452	1702	2055
453	1704	2049
454	1707	2044
455	1709	2039
456	1713	2035
457	1715	2030
458	1717	2024
459	1719	2018
460	1721	2013
461	1725	2009
462	1728	2004
463	1735	2004
464	1740	2002
465	1743	1997
466	1745	1992
467	1748	1987
468	1749	1981
469	1756	1981
470	1758	1975
471	1760	1969
472	1763	1964
473	1770	1964
474	1772	1958
475	1774	1953
476	1778	1950
477	1786	1951
478	1788	1945
479	1791	1940
480	1793	1935
481	1797	1931
482	1801	1927
483	1803	1923
484	1806	1917
485	1811	1916
486	1816	1913
487	1818	1908
488	1821	1903
489	1825	1899
490	1827	1894
491	1831	1890
492	1834	1886
493	1838	1883
494	1841	1878
495	1845	1875
496	1847	1870
497	1854	1869
498	1859	1866
499	1862	1862
500	1867	1859
501	1869	1854
502	1872	1849
503	1874	1844
504	1880	1842
505	1884	1839
506	1886	1834
507	1889	1829
508	1892	1825
509	1894	1820
510	1896	1814
511	1898	1809
512	1901	1805
513	1907	1803
514	1909	1798
515	1911	1792
516	1913	1787
517	1919	1785
518	1921	1781
519	1923	1775
520	1928	1772
521	1933	1770
522	1936	1766
523	1944	1766
524	1946	1761
525	1948	1756
526	1955	1755
527	1960	1752
528	1962	1747
529	1964	1742
530	1966	1736
531	1968	1731
532	1971	1727
533	1974	1722
534	1975	1717
535	1977	1712
536	1980	1707
537	1982	1702
538	1985	1697
539	1989	1694
540	1990	1689
541	1994	1685
542	2003	1686
543	2007	1682
544	2015	1682
545	2019	1678
546	2023	1675
547	2025	1670
548	2029	1667
549	2031	1662
550	2034	1657
551	2037	1653
552	2043	1651
553	2046	1647
554	2048	1642
555	2051	1638
556	2055	1634
557	2060	1632
558	2066	1630
559	2071	1627
560	2074	1623
561	2079	1620
562	2085	1618
563	2088	1614
564	2091	1610
565	2093	1605
566	2098	1602
567	2102	1599
568	2105	1594
569	2114	1594
570	2116	1590
571	2118	1585
572	2120	1580
573	2122	1575
574	2125	1570
575	2128	1567
576	2133	1564
577	2135	1559
578	2140	1556
579	2142	1551
580	2144	1546
581	2146	1541
582	2148	1536
583	2150	1531
584	2158	1530
585	2160	1526
586	2164	1522
587	2174	1523
588	2177	1519
589	2179	1514
590	2182	1510
591	2187	1507
592	2189	1502
593	2191	1497
594	2193	1492
595	2195	1488
596	2197	1483
597	2200	1479
598	2202	1474
599	2204	1469
600	2205	1464
601	2207	1459
602	2209	1454
603	2215	1452
604	2217	1447
605	2218	1442
606	2220	1437
607	2222	1432
608	2224	1428
609	2228	1424
610	2230	1420
611	2232	1415
612	2234	1410
613	2236	1406
614	2238	1401
615	2242	1398
616	2244	1393
617	2246	1388
618	2248	1384
619	2250	1379
620	2251	1374
621	2254	1370
622	2257	1366
623	2258	1361
624	2260	1356
625	2262	1351
626	2264	1346
627	2266	1342
628	2269	1338
629	2272	1334
630	2274	1329
631	2276	1325
632	2277	1320
633	2279	1315
634	2282	1312
635	2286	1308
636	2289	1304
637	2291	1300
